Rayon;microRayon
Голосіївський;Голосіїв, Китаїв, Мишоловка, Саперна слобідка, Добрий Шлях, Корчувате, Деміївка, Теремки-I, Теремки-II, Віта-Литовська, Феофанія, Пирогів, Нижня Теличка, Паньківщина, ВДНГ, Монтажник, Комсомольське,2
Дарницький;Нова Дарниця, Харківський масив, Східні Позняки, Західні Позняки, Північні Осокорки, Бортничі
Деснянський;Вигурівщина-Троєщина, Лісовий масив, Троєщина, Биківня
Дніпровський;Соцмісто, Стара Дарниця, Русанівка, Березняки, Лівобережний масив, Микільська слобідка, Воскресенка, Русанівські сади, Гідропарк, Труханів острів, Дарницький масив, Райдужний масив, Північно-Броварський масив, ДВРЗ
Оболонський;Оболонь, Вишгородський масив, Мінський масив, Пріорка, Пуща-Водиця, ДВС, Петрівка
Печерський;Печерськ, Липки, Звіринець, Теличка, Чорна гора, Саперне поле, Черепанова гора
Подільський;Поділ, Куренівка, Пріорка, Мостицький масив, Виноградар, Вітряні гори, Село Шевченка, Біличе поле, Берковець
Святошинський;Микільська Борщагівка, Південна Борщагівка, Братська Борщагівка, Михайлівська Борщагівка, Перемога, Жовтневе, Святошин, Академмістечко, Авіамістечко, Біличі, Новобіличі, Ґалаґани
Солом'янський;Солом'янка, Батиєва гора, Залізничний масив, Першотравневий масив, Чоколівка, Олександрівська слобідка, Турецьке містечко, Шулявка, Залізнична колонія, Пронівщина, Совки, Жуляни, Кадетський гай, Відрадний, Грушки, Караваєві дачі, Новокараваєві дачі
Шевченківський;Лук'янівка, Кудрявець, Татарка, Сирець, Волейків, Шулявка, Нивки, Солдатська слобідка
